source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:05030,Cocaine addiction,5.76747202998487e-06,True,Cocaine addiction,49,21,5,8716,0.23809523809523808,0.10204081632653061,query_1,['KEGG:00000']
GO:BP,GO:0007268,chemical synaptic transmission,7.497239409529032e-05,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",765,29,10,20972,0.3448275862068966,0.013071895424836602,query_1,['GO:0098916']
GO:BP,GO:0098916,anterograde trans-synaptic signaling,7.497239409529032e-05,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",765,29,10,20972,0.3448275862068966,0.013071895424836602,query_1,['GO:0099537']
GO:BP,GO:0099537,trans-synaptic signaling,8.168015909096511e-05,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",772,29,10,20972,0.3448275862068966,0.012953367875647668,query_1,['GO:0099536']
GO:BP,GO:0099536,synaptic signaling,0.00011821259218031016,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",803,29,10,20972,0.3448275862068966,0.012453300124533,query_1,['GO:0007267']
GO:BP,GO:0007267,cell-cell signaling,0.00012089401586647457,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1316,29,12,20972,0.41379310344827586,0.00911854103343465,query_1,"['GO:0007154', 'GO:0023052']"
GO:BP,GO:1990384,hyaloid vascular plexus regression,0.0001480219832911264,True,"""The developmental process in which the hyaloid vascular plexus is destroyed as a part of its normal progression."" [GOC:hjd, PMID:18841878]",7,29,3,20972,0.10344827586206896,0.42857142857142855,query_1,"['GO:0043010', 'GO:0060033']"
KEGG,KEGG:04082,Neuroactive ligand signaling,0.00035654879782270627,True,Neuroactive ligand signaling,199,21,6,8716,0.2857142857142857,0.03015075376884422,query_1,['KEGG:00000']
GO:BP,GO:0042417,dopamine metabolic process,0.0005681561534809125,True,"""The chemical reactions and pathways involving dopamine, a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline."" [GOC:jl, ISBN:0198506732]",42,29,4,20972,0.13793103448275862,0.09523809523809523,query_1,['GO:0006584']
GO:BP,GO:0007626,locomotory behavior,0.000775008338474758,True,"""The specific movement from place to place of an organism in response to external or internal stimuli. Locomotion of a whole organism in a manner dependent upon some combination of that organism's internal state and external conditions."" [GOC:dph]",216,29,6,20972,0.20689655172413793,0.027777777777777776,query_1,['GO:0007610']
KEGG,KEGG:04728,Dopaminergic synapse,0.0008233782759642536,True,Dopaminergic synapse,132,21,5,8716,0.23809523809523808,0.03787878787878788,query_1,['KEGG:00000']
GO:BP,GO:0042416,dopamine biosynthetic process,0.0012028188911807625,True,"""The chemical reactions and pathways resulting in the formation of dopamine, a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline."" [GOC:jl, ISBN:0198506732]",13,29,3,20972,0.10344827586206896,0.23076923076923078,query_1,"['GO:0042417', 'GO:0042423']"
KEGG,KEGG:05031,Amphetamine addiction,0.001294962298644075,True,Amphetamine addiction,69,21,4,8716,0.19047619047619047,0.057971014492753624,query_1,['KEGG:00000']
GO:BP,GO:0006584,catecholamine metabolic process,0.00212096037222925,True,"""The chemical reactions and pathways involving any of a group of physiologically important biogenic amines that possess a catechol (3,4-dihydroxyphenyl) nucleus and are derivatives of 3,4-dihydroxyphenylethylamine."" [GOC:jl, ISBN:0198506732]",58,29,4,20972,0.13793103448275862,0.06896551724137931,query_1,"['GO:0006576', 'GO:0009712']"
GO:BP,GO:0009712,catechol-containing compound metabolic process,0.00212096037222925,True,"""The chemical reactions and pathways involving a compound containing a pyrocatechol (1,2-benzenediol) nucleus or substituent."" [GOC:sm, ISBN:0198547684]",58,29,4,20972,0.13793103448275862,0.06896551724137931,query_1,['GO:0018958']
GO:BP,GO:0060033,anatomical structure regression,0.002348607168460313,True,"""The developmental process in which an anatomical structure is destroyed as a part of its normal progression."" [GOC:dph]",16,29,3,20972,0.10344827586206896,0.1875,query_1,"['GO:0009653', 'GO:0032502']"
KEGG,KEGG:05034,Alcoholism,0.004762496624789133,True,Alcoholism,190,21,5,8716,0.23809523809523808,0.02631578947368421,query_1,['KEGG:00000']
REAC,REAC:R-HSA-209905,Catecholamine biosynthesis,0.006331219009106101,True,Catecholamine biosynthesis,4,20,2,11056,0.1,0.5,query_1,['REAC:R-HSA-209776']
GO:BP,GO:0042423,catecholamine biosynthetic process,0.006422729559628835,True,"""The chemical reactions and pathways resulting in the formation of any of a group of physiologically important biogenic amines that possess a catechol (3,4-dihydroxyphenyl) nucleus and are derivatives of 3,4-dihydroxyphenylethylamine."" [GOC:jl, ISBN:0198506732]",22,29,3,20972,0.10344827586206896,0.13636363636363635,query_1,"['GO:0006584', 'GO:0009713', 'GO:0042401']"
GO:BP,GO:0009713,catechol-containing compound biosynthetic process,0.006422729559628835,True,"""The chemical reactions and pathways resulting in the formation of catechol-containing compounds. Catechol is a compound containing a pyrocatechol nucleus or substituent."" [GOC:go_curators]",22,29,3,20972,0.10344827586206896,0.13636363636363635,query_1,"['GO:0009712', 'GO:0046189']"
GO:BP,GO:0006811,monoatomic ion transport,0.00738280699243789,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1260,29,10,20972,0.3448275862068966,0.007936507936507936,query_1,['GO:0006810']
GO:BP,GO:0015837,amine transport,0.009864601727226899,True,"""The directed movement of amines, including polyamines, organic compounds containing one or more amino groups, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai, ISBN:0198506732]",85,29,4,20972,0.13793103448275862,0.047058823529411764,query_1,['GO:0071705']
GO:BP,GO:0006576,biogenic amine metabolic process,0.01033593408680536,True,"""The chemical reactions and pathways occurring at the level of individual cells involving any of a group of naturally occurring, biologically active amines, such as norepinephrine, histamine, and serotonin, many of which act as neurotransmitters."" [GOC:jl, ISBN:0395825172]",86,29,4,20972,0.13793103448275862,0.046511627906976744,query_1,['GO:0009308']
KEGG,KEGG:04080,Neuroactive ligand-receptor interaction,0.011281463443136946,True,Neuroactive ligand-receptor interaction,367,21,6,8716,0.2857142857142857,0.01634877384196185,query_1,['KEGG:00000']
GO:BP,GO:0001963,"synaptic transmission, dopaminergic",0.013586879424558131,True,"""The vesicular release of dopamine. from a presynapse, across a chemical synapse, the subsequent activation of dopamine receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:dos, GOC:dph]",28,29,3,20972,0.10344827586206896,0.10714285714285714,query_1,['GO:0007268']
GO:BP,GO:0009308,amine metabolic process,0.016688249157909514,True,"""The chemical reactions and pathways involving any organic compound that is weakly basic in character and contains an amino or a substituted amino group. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom."" [GOC:jl, ISBN:0198506732]",97,29,4,20972,0.13793103448275862,0.041237113402061855,query_1,['GO:0008152']
KEGG,KEGG:04020,Calcium signaling pathway,0.017661532175198124,True,Calcium signaling pathway,251,21,5,8716,0.23809523809523808,0.0199203187250996,query_1,['KEGG:00000']
GO:BP,GO:0003013,circulatory system process,0.023114041337511323,True,"""An organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism."" [GOC:mtg_cardio]",595,29,7,20972,0.2413793103448276,0.011764705882352941,query_1,['GO:0003008']
KEGG,KEGG:05012,Parkinson disease,0.023522304609671894,True,Parkinson disease,267,21,5,8716,0.23809523809523808,0.018726591760299626,query_1,['KEGG:00000']
GO:BP,GO:0098810,neurotransmitter reuptake,0.02696863678945596,True,"""The directed movement of neurotransmitter molecules from the extrasynaptic space into the presynaptic cytosol."" [GOC:dos]",35,29,3,20972,0.10344827586206896,0.08571428571428572,query_1,"['GO:0001504', 'GO:0051649']"
GO:BP,GO:0018958,phenol-containing compound metabolic process,0.03386738272416599,True,"""The chemical reactions and pathways involving a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."" [ISBN:0198506732]",116,29,4,20972,0.13793103448275862,0.034482758620689655,query_1,['GO:0008152']
GO:BP,GO:0042401,biogenic amine biosynthetic process,0.03751743208222521,True,"""The chemical reactions and pathways occurring at the level of individual cells resulting in the formation of any of a group of naturally occurring, biologically active amines, such as norepinephrine, histamine, and serotonin, many of which act as neurotransmitters."" [GOC:jl, ISBN:0395825172]",39,29,3,20972,0.10344827586206896,0.07692307692307693,query_1,"['GO:0006576', 'GO:0009309']"
GO:BP,GO:0009309,amine biosynthetic process,0.04052170105424595,True,"""The chemical reactions and pathways resulting in the formation of any organic compound that is weakly basic in character and contains an amino or a substituted amino group. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom."" [GOC:jl, ISBN:0198506732]",40,29,3,20972,0.10344827586206896,0.075,query_1,"['GO:0009058', 'GO:0009308']"
GO:BP,GO:1903522,regulation of blood circulation,0.04188642848790127,True,"""Any process that modulates the frequency, rate or extent of blood circulation."" [GO_REF:0000058, GOC:mr, GOC:TermGenie, PMID:10659969]",254,29,5,20972,0.1724137931034483,0.01968503937007874,query_1,"['GO:0008015', 'GO:0044057']"
GO:BP,GO:0003008,system process,0.0434504660473856,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",2290,29,12,20972,0.41379310344827586,0.005240174672489083,query_1,['GO:0032501']
GO:BP,GO:0015872,dopamine transport,0.04368016138841407,True,"""The directed movement of dopamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Dopamine is a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline."" [GOC:ai]",41,29,3,20972,0.10344827586206896,0.07317073170731707,query_1,['GO:0051937']
